PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,,
1,9/19/24,12:35:05,1,1,"Johnson, Jeb",10061066,Right,MER_BEA,LiveAB,10061066,Right,MER_BEA,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.86431,-1.438266,-3.169737,2254.566677,236.859704,2:00,4.12196,1.39119,6.5547,-20.28836,13.76446,19.2871,1.11014,0.08896,81.49909,-5.317269,0.331173,0.419999,,,,,,,,,,,,-11.16071,8.01658,-1.1801,50,4.01378,6.48391,-130.43294,-3.83992,-19.03931,29.93159,-18.49841,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,3a4449d0-76a5-11ef-bf32-65458db6b58e,89.74418,,,8.36523,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,16:35:05,2024-09-19T12:35:04.8536434-04:00,2024-09-19T16:35:04.8536434Z,,v3,471354,471354,,,,Undefined,MER_BEA,604879c7-01e6-4441-ae57-c7f831403a01,53.94773,-131.33574,14.9658,4.12118,-3.28197,-9.24921,-1.38432,7.05817,-9.51966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
2,9/19/24,12:35:30,1,2,"Johnson, Jeb",10061066,Right,MER_BEA,LiveAB,10061066,Right,MER_BEA,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,79.66904,0.317169,-3.741919,1586.471073,278.329768,3:15,3.56699,1.39418,6.56656,-44.72144,-1.66776,20.79674,0.13159,-0.30805,73.0282,-8.008977,0.036299,0.472255,,,,,,,,,,,,-11.9989,-0.55008,-1.1444,50,3.57036,6.85323,-115.70722,-0.64138,-16.21253,22.26195,-32.9173,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,496657a0-76a5-11ef-bf32-65458db6b58e,79.81374,,,6.64084,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,16:35:30,2024-09-19T12:35:30.2013810-04:00,2024-09-19T16:35:30.2013810Z,,v3,471354,471354,,,,Undefined,MER_BEA,63a71fec-d225-4b9a-b56f-54e1dfffd29b,53.93777,-116.46238,11.13097,3.57318,0.47522,-16.45865,-1.3862,7.40318,-8.10627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
3,9/19/24,12:35:42,1,3,"Johnson, Jeb",10061066,Right,MER_BEA,LiveAB,10061066,Right,MER_BEA,Undefined,1,Top,0,1,1,TwoSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.16176,-0.474884,-2.42115,2207.250184,249.381509,2:15,4.16293,1.08752,6.34651,-25.9171,8.66949,20.10698,1.56559,0.53288,81.43951,-5.346214,1.218016,0.423278,,,,,,,,,,,,-11.05178,5.00083,-0.91983,50,4.11631,4.65326,-129.53878,-1.88318,-18.74383,27.53173,-23.69261,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,50a88ec0-76a5-11ef-bf32-65458db6b58e,89.04896,,,7.72225,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,16:35:42,2024-09-19T12:35:42.3322482-04:00,2024-09-19T16:35:42.3322482Z,,v3,471354,471354,,,,Undefined,MER_BEA,580daa04-09da-4d20-a41d-fcb6c1bfef71,54.15467,-130.41881,13.76587,4.1644,-1.12586,-11.84631,-1.07815,5.2524,-9.37191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
4,9/19/24,12:36:08,1,4,"Johnson, Jeb",10061066,Right,MER_BEA,LiveAB,10061066,Right,MER_BEA,Undefined,1,Top,0,1,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.58988,0.698464,0.01284,2673.30572,64.021416,8:15,4.0558,1.3715,5.6914,-50.22896,-7.88776,-18.89536,0.52108,-0.19114,74.97336,-8.466488,-3.372692,0.468331,68.66488,-9.130116,79.303054,,,,,6.3649,6.3649,49.875881,0.048861,9.71032,-3.93028,-1.36016,50,4.08255,0.70136,-118.59531,-0.27272,13.76353,23.69161,-37.74491,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,5ffb7090-76a5-11ef-bf32-65458db6b58e,80.48246,0.78164,,6.61652,,,,3.19908,0.78164,0.08788,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,16:36:08,2024-09-19T12:36:08.0708978-04:00,2024-09-19T16:36:08.0708978Z,GroundBall,v3,471354,471354,,,,Undefined,MER_BEA,10bed8c0-7f64-47e7-820c-fdddbd5b9f02,54.8143,-119.55318,11.8458,4.06273,1.25335,-18.87245,-1.37727,0.14489,6.88177,,3.19893,18.47568,,,,,,,,0.78177,-15.99708,,,,,,,,0.08707,97.80833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,,
5,9/19/24,12:36:31,1,5,"Johnson, Jeb",10061066,Right,MER_BEA,LiveAB,10061066,Right,MER_BEA,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.71021,3.130269,0.197174,1389.205099,285.656768,3:30,3.60441,1.4725,6.06796,-46.91369,-3.01004,15.72426,2.59476,2.96533,72.64709,-5.551899,3.026474,0.476894,,,,,,,,,,,,-7.98052,-1.98232,-1.49574,50,3.82278,-0.99361,-115.69067,4.83927,-10.76252,22.58011,-34.84741,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,6d9530b0-76a5-11ef-bf32-65458db6b58e,79.0374,,,7.06312,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,16:36:31,2024-09-19T12:36:30.8782962-04:00,2024-09-19T16:36:30.8782962Z,,v3,471354,471354,,,,Undefined,MER_BEA,e6375494-1796-429c-ba21-70d68ab72177,54.43437,-116.55294,11.29006,3.61257,6.16999,-17.4237,-1.46564,-0.58262,-5.38126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
6,9/19/24,12:36:46,1,6,"Johnson, Jeb",10061066,Right,MER_BEA,LiveAB,10061066,Right,MER_BEA,Undefined,1,Top,0,2,2,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.75457,1.749905,-0.474632,2468.683864,104.140321,9:30,3.97814,1.2211,5.69793,-38.19463,2.42725,-5.2115,2.42657,0.34449,76.535,-5.262859,-1.406478,0.458724,72.95453,70.428123,-67.304465,,,,,,52.44743,,,2.55587,1.10756,-1.17783,50,4.10088,1.19956,-120.32731,2.38859,3.78983,20.85893,-30.53173,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,774ef780-76a5-11ef-bf32-65458db6b58e,82.16804,111.02621,,6.21957,,,,2.23793,2.5014,-0.36455,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,16:36:46,2024-09-19T12:36:46.2111602-04:00,2024-09-19T16:36:46.2111602Z,,v3,471354,471354,,,,Undefined,MER_BEA,c2aac6e7-80c6-4d24-98b5-f5331e39a58c,54.806,-121.15757,10.42947,3.98162,3.60386,-15.26587,-1.22258,1.04871,1.89491,,2.23793,13.82975,-2.36896,0.57235,-0.12771,0.02738,-0.00553,0.00094,-8.00E-05,2.50141,100.81755,-28.35207,3.51112,-0.77062,0.15731,-0.02993,0.00529,-0.00048,-0.36455,-33.06834,5.57365,-0.24743,0.00555,0.01612,-0.00182,0.00021,-5.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,,
7,9/19/24,12:37:09,1,7,"Johnson, Jeb",10061066,Right,MER_BEA,LiveAB,10061066,Right,MER_BEA,Undefined,1,Top,0,2,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,79.52089,2.384298,-2.039561,1426.950608,268.826436,3:00,3.51517,1.44106,6.28927,-42.17813,1.91413,18.43517,2.20034,1.09689,71.84269,-5.502555,1.291618,0.477917,,,,,,,,,,,,-10.12497,0.74646,-1.29882,50,3.67129,3.42178,-115.3459,3.54754,-13.45977,24.11141,-31.18175,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,84800ac0-76a5-11ef-bf32-65458db6b58e,78.86815,,,7.6782,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,16:37:09,2024-09-19T12:37:09.2788594-04:00,2024-09-19T16:37:09.2788594Z,,v3,471354,471354,,,,Undefined,MER_BEA,a59a237a-8e97-4516-8843-c2ec2a116e7c,54.21109,-116.22284,12.05571,3.52164,4.68162,-15.59087,-1.43217,3.91131,-6.72989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
8,9/19/24,12:38:14,2,1,"Johnson, Jeb",10061066,Right,MER_BEA,LiveAB,10061066,Right,MER_BEA,Undefined,1,Top,1,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.66143,0.120162,-1.197898,2475.2259,121.783922,10:00,3.7045,1.76019,5.74166,-37.35695,2.4489,-2.11032,0.70334,0.46875,77.32692,-6.735757,-1.575818,0.454093,,,,,,,,,,,,0.77169,1.55854,-1.65918,50,3.69142,2.62706,-121.62907,-1.01578,1.16489,22.14325,-29.82146,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,ab2c18d0-76a5-11ef-bf32-65458db6b58e,83.006,,,6.3345,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,16:38:14,2024-09-19T12:38:14.2271346-04:00,2024-09-19T16:38:14.2271346Z,,v3,471354,471354,,,,Undefined,MER_BEA,d9452577-951b-4df1-bc53-7dd237320ecf,54.76112,-122.4928,11.07162,3.70835,0.14744,-14.91073,-1.76076,2.58162,0.58244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
9,9/19/24,12:38:39,2,2,"Johnson, Jeb",10061066,Right,MER_BEA,LiveAB,10061066,Right,MER_BEA,Undefined,1,Top,1,0,1,Slider,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,,79.65453,0.976313,0.125801,2640.869725,47.235446,7:30,3.82597,1.71678,5.47358,-57.12696,-11.91489,-14.54517,-0.02085,0.62241,72.63036,-9.409219,-2.471646,0.483948,,,,,,,,,,,,7.39115,-5.90142,-1.71753,50,3.87257,0.32378,-115.62118,-0.03477,9.86428,24.39053,-40.05016,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,ba3631d0-76a5-11ef-bf32-65458db6b58e,77.88532,,,7.02417,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,16:38:39,2024-09-19T12:38:39.4195314-04:00,2024-09-19T16:38:39.4195314Z,,v3,471354,471354,,,,Undefined,MER_BEA,068275eb-70f9-49fd-a611-156568b4bf05,55.03082,-116.67762,12.19527,3.83651,1.69993,-20.02508,-1.7223,-0.10347,4.93214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
10,9/19/24,12:38:58,2,3,"Johnson, Jeb",10061066,Right,MER_BEA,LiveAB,10061066,Right,MER_BEA,Undefined,1,Top,1,1,1,TwoSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.52591,-0.098302,-2.74029,2297.234515,238.660711,2:00,4.09242,0.88492,6.5608,-24.48139,11.04603,15.90792,1.96207,-0.30377,79.18913,-4.780597,0.148362,0.428996,,,,,,,,,,,,-9.20378,6.21989,-0.70156,50,4.07541,5.50196,-128.35214,-0.91436,-14.99889,32.28856,-22.03786,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,c523bdb0-76a5-11ef-bf32-65458db6b58e,87.86199,,,9.33679,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,16:38:58,2024-09-19T12:38:57.7809266-04:00,2024-09-19T16:38:57.7809266Z,,v3,471354,471354,,,,Undefined,MER_BEA,fc301f77-128e-42ef-a691-f0b59e7ea87c,53.93659,-129.33865,16.14428,4.09306,-0.24104,-11.01893,-0.87666,5.96022,-7.49945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
